[00:00:00]: Starting up
[00:00:00]: Don't Starve: 429557 LINUX
Branch: release
[00:00:05]: Could not unload undefined prefab 0x1aa31ec4 (rabbithouse_placer)
[00:00:05]: Could not unload undefined prefab 0xe474f23c (armormarble)
[00:00:05]: Could not unload undefined prefab 0x3ccdbe75 (icestaff)
[00:00:05]: Could not unload undefined prefab 0x68ba7101 (researchlab3)
[00:00:05]: Could not unload undefined prefab 0xd6985329 (researchlab3_placer)
[00:00:05]: Could not unload undefined prefab 0x21bf03b1 (thulecite)
[00:00:05]: Could not unload undefined prefab 0x539e9e8a (trunkvest_summer)
[00:00:05]: Could not unload undefined prefab 0xf4eb0943 (shovel)
[00:00:05]: Could not unload undefined prefab 0x761a1799 (gunpowder)
[00:00:05]: Could not unload undefined prefab 0xe8561ebe (waxpaper)
[00:00:05]: Could not unload undefined prefab 0x9a99c7b7 (armorgrass)
[00:00:05]: Could not unload undefined prefab 0xda17c8e8 (armorslurper)
[00:00:05]: Could not unload undefined prefab 0x47611d71 (sweatervest)
[00:00:05]: Could not unload undefined prefab 0x85181f7c (minerhat)
[00:00:05]: Could not unload undefined prefab 0xe8f381a1 (turf_checkerfloor)
[00:00:05]: Could not unload undefined prefab 0x80cb1e18 (featherhat)
[00:00:05]: Could not unload undefined prefab 0x2e264dbc (blowdart_pipe)
[00:00:05]: Could not unload undefined prefab 0x2ca456a0 (orangeamulet)
[00:00:05]: Could not unload undefined prefab 0x41ba89b5 (nightmarefuel)
[00:00:05]: Could not unload undefined prefab 0xa9bd39bd (beeswax)
[00:00:05]: Could not unload undefined prefab 0xfbaefa0e (rainometer)
[00:00:05]: Could not unload undefined prefab 0xeea990dc (rainometer_placer)
[00:00:05]: Could not unload undefined prefab 0x7fcb037d (greenstaff)
[00:00:05]: Could not unload undefined prefab 0xf295861a (brush)
[00:00:05]: Could not unload undefined prefab 0x3c935451 (eyeturret_item)
[00:00:05]: Could not unload undefined prefab 0xcba65752 (amulet)
[00:00:05]: Could not unload undefined prefab 0xe16c07d0 (ruinshat)
[00:00:05]: Could not unload undefined prefab 0xcad92460 (flowerhat)
[00:00:05]: Could not unload undefined prefab 0xb1591875 (greenamulet)
[00:00:05]: Could not unload undefined prefab 0xdac7fbf5 (birdcage)
[00:00:05]: Could not unload undefined prefab 0xe1f9b335 (birdcage_placer)
[00:00:05]: Could not unload undefined prefab 0x68ba7102 (researchlab4)
[00:00:05]: Could not unload undefined prefab 0x79aa04e8 (researchlab4_placer)
[00:00:05]: Could not unload undefined prefab 0x2c158f7c (torch)
[00:00:05]: Could not unload undefined prefab 0x265d1455 (turf_woodfloor)
[00:00:05]: Could not unload undefined prefab 0xa8651fd0 (saddle_war)
[00:00:05]: Could not unload undefined prefab 0x9a0ed246 (yellowamulet)
[00:00:05]: Could not unload undefined prefab 0x9a6718eb (resurrectionstatue)
[00:00:05]: Could not unload undefined prefab 0x6b0c64bf (resurrectionstatue_placer)
[00:00:05]: Could not unload undefined prefab 0xdfb37276 (telestaff)
[00:00:05]: Could not unload undefined prefab 0x3f6c9ebb (diviningrod)
[00:00:05]: Could not unload undefined prefab 0xe5936c6a (firestaff)
[00:00:05]: Could not unload undefined prefab 0x34fb4f82 (pitchfork)
[00:00:05]: Could not unload undefined prefab 0x18f754c1 (fence_item)
[00:00:05]: Could not unload undefined prefab 0x3d4d1dc6 (bedroll_straw)
[00:00:05]: Could not unload undefined prefab 0xadfdb7ae (armor_sanity)
[00:00:05]: Could not unload undefined prefab 0x76d26529 (bugnet)
[00:00:05]: Could not unload undefined prefab 0x5ce426c4 (blowdart_fire)
[00:00:05]: Could not unload undefined prefab 0xa14b3e59 (fence_gate_item)
[00:00:05]: Could not unload undefined prefab 0x4740cff7 (tent)
[00:00:05]: Could not unload undefined prefab 0xb4d742b3 (tent_placer)
[00:00:05]: Could not unload undefined prefab 0x62a5e7fe (nightlight)
[00:00:05]: Could not unload undefined prefab 0x185806ec (nightlight_placer)
[00:00:05]: Could not unload undefined prefab 0xa1e54a85 (goldenaxe)
[00:00:05]: Could not unload undefined prefab 0xe6af29d2 (compass)
[00:00:05]: Could not unload undefined prefab 0x5e02cffb (saltlick)
[00:00:05]: Could not unload undefined prefab 0x5ddc09af (saltlick_placer)
[00:00:05]: Could not unload undefined prefab 0x19c004b2 (pighouse)
[00:00:05]: Could not unload undefined prefab 0x469fe538 (pighouse_placer)
[00:00:05]: Could not unload undefined prefab 0xca16846d (boards)
[00:00:05]: Could not unload undefined prefab 0xfa14dec6 (birdtrap)
[00:00:05]: Could not unload undefined prefab 0x7c11af2 (treasurechest)
[00:00:05]: Could not unload undefined prefab 0xd411bef8 (treasurechest_placer)
[00:00:05]: Could not unload undefined prefab 0xef21c9f2 (rope)
[00:00:05]: Could not unload undefined prefab 0xb981ecda (fast_farmplot)
[00:00:05]: Could not unload undefined prefab 0x2639673 (farmplot_placer)
[00:00:05]: Could not unload undefined prefab 0xbcfca634 (strawhat)
[00:00:05]: Could not unload undefined prefab 0x111db7ae (footballhat)
[00:00:05]: Could not unload undefined prefab 0x1cd9e60e (razor)
[00:00:05]: Could not unload undefined prefab 0x1883478c (bundlewrap)
[00:00:05]: Could not unload undefined prefab 0xd8067599 (beehat)
[00:00:05]: Could not unload undefined prefab 0x68370bd6 (trap_teeth)
[00:00:05]: Could not unload undefined prefab 0x15220700 (backpack)
[00:00:05]: Could not unload undefined prefab 0x1541c9cc (armorruins)
[00:00:05]: Could not unload undefined prefab 0x7f46d7c0 (batbat)
[00:00:05]: Could not unload undefined prefab 0xd5201c09 (beebox)
[00:00:05]: Could not unload undefined prefab 0x753b7621 (beebox_placer)
[00:00:05]: Could not unload undefined prefab 0xb918c5fd (fishingrod)
[00:00:05]: Could not unload undefined prefab 0xdeb59676 (saddle_basic)
[00:00:05]: Could not unload undefined prefab 0x4742feaa (saddlehorn)
[00:00:05]: Could not unload undefined prefab 0x5a59f5cc (goldenshovel)
[00:00:05]: Could not unload undefined prefab 0x3532833e (minisign_item)
[00:00:05]: Could not unload undefined prefab 0xb6201ac9 (onemanband)
[00:00:05]: Could not unload undefined prefab 0x4685284 (umbrella)
[00:00:05]: Could not unload undefined prefab 0xda1f7edf (winterometer)
[00:00:05]: Could not unload undefined prefab 0x955229cb (winterometer_placer)
[00:00:05]: Could not unload undefined prefab 0x303bfdce (axe)
[00:00:05]: Could not unload undefined prefab 0x94cf6c04 (goldenpickaxe)
[00:00:05]: Could not unload undefined prefab 0x3949a42 (meatrack)
[00:00:05]: Could not unload undefined prefab 0x56340ba8 (meatrack_placer)
[00:00:05]: Could not unload undefined prefab 0xbc429ef3 (bushhat)
[00:00:05]: Could not unload undefined prefab 0xfdcabd86 (earmuffshat)
[00:00:05]: Could not unload undefined prefab 0xa801bd29 (saddle_race)
[00:00:05]: Could not unload undefined prefab 0xc4101586 (hammer)
[00:00:05]: Could not unload undefined prefab 0x3cb06493 (healingsalve)
[00:00:05]: Could not unload undefined prefab 0x39311b4d (grass_umbrella)
[00:00:05]: Could not unload undefined prefab 0x37c31aa6 (lantern)
[00:00:05]: Could not unload undefined prefab 0xba3ae90 (featherpencil)
[00:00:05]: Could not unload undefined prefab 0x1daa5ab7 (turf_carpetfloor)
[00:00:05]: Could not unload undefined prefab 0x3edae42e (multitool_axe_pickaxe)
[00:00:05]: Could not unload undefined prefab 0x7f2d088c (armorwood)
[00:00:05]: Could not unload undefined prefab 0xde4bc7e7 (wall_hay_item)
[00:00:05]: Could not unload undefined prefab 0xf8e41fa9 (bedroll_furry)
[00:00:05]: Could not unload undefined prefab 0xb1fa364d (pickaxe)
[00:00:05]: Could not unload undefined prefab 0xec43b9f4 (sewing_kit)
[00:00:05]: Could not unload undefined prefab 0x2e54b535 (cane)
[00:00:05]: Could not unload undefined prefab 0x1c48b877 (campfire)
[00:00:05]: Could not unload undefined prefab 0xdfe3a33 (campfire_placer)
[00:00:05]: Could not unload undefined prefab 0xcda99af6 (winterhat)
[00:00:05]: Could not unload undefined prefab 0x75370b6 (papyrus)
[00:00:05]: Could not unload undefined prefab 0x8bbc7f55 (beemine)
[00:00:05]: Could not unload undefined prefab 0xfb180669 (blowdart_sleep)
[00:00:05]: Could not unload undefined prefab 0x38967bb2 (researchlab)
[00:00:05]: Could not unload undefined prefab 0x77e9ae38 (researchlab_placer)
[00:00:05]: Could not unload undefined prefab 0x739fbe3c (homesign)
[00:00:05]: Could not unload undefined prefab 0x33fdbd2e (homesign_placer)
[00:00:05]: Could not unload undefined prefab 0xdf13a0c1 (ruins_bat)
[00:00:05]: Could not unload undefined prefab 0x22ec3802 (wall_stone_item)
[00:00:05]: Could not unload undefined prefab 0x1153dbb9 (pottedfern)
[00:00:05]: Could not unload undefined prefab 0xf2102a71 (pottedfern_placer)
[00:00:05]: Could not unload undefined prefab 0x263bc4d5 (slow_farmplot)
[00:00:05]: Could not unload undefined prefab 0x2639673 (farmplot_placer)
[00:00:05]: Could not unload undefined prefab 0xe5071541 (nightmare_timepiece)
[00:00:05]: Could not unload undefined prefab 0xc3bf310c (blueamulet)
[00:00:05]: Could not unload undefined prefab 0x2ae7e3b3 (purplegem)
[00:00:05]: Could not unload undefined prefab 0x4d9a964d (trap)
[00:00:05]: Could not unload undefined prefab 0x6f21e747 (piggyback)
[00:00:05]: Could not unload undefined prefab 0xdb20fa95 (heatrock)
[00:00:05]: Could not unload undefined prefab 0xf0330963 (panflute)
[00:00:05]: Could not unload undefined prefab 0x33ab6997 (hud)
[00:00:05]: Could not unload undefined prefab 0x3364203d (forest)
[00:00:05]: Could not unload undefined prefab 0x2e5cb72d (cave)
[00:00:05]: Could not unload undefined prefab 0x48fc3ce3 (porkland)
[00:00:05]: Could not unload undefined prefab 0x7c61e1f5 (shipwrecked)
[00:00:05]: Could not unload undefined prefab 0xa552d992 (volcanolevel)
